"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/05/2020","6,95","7,59","4,98","6,76","7,59","78,82M"
"28/05/2020","7,33","7,23","-2,82","7,12","7,64","59,97M"
"27/05/2020","7,20","7,44","7,05","6,96","7,47","68,60M"
"26/05/2020","6,78","6,95","5,95","6,71","7,30","128,47M"
"25/05/2020","6,10","6,56","12,33","6,00","6,62","86,63M"
"22/05/2020","6,05","5,84","-5,96","5,60","6,06","92,54M"
"21/05/2020","5,80","6,21","9,72","5,72","6,23","59,98M"
"20/05/2020","5,69","5,66","2,17","5,46","5,78","30,22M"
"19/05/2020","5,41","5,54","2,59","5,29","5,88","48,42M"
"18/05/2020","5,02","5,40","12,73","4,89","5,52","48,26M"
"15/05/2020","4,85","4,79","-1,84","4,65","5,04","37,45M"
"14/05/2020","4,44","4,88","6,55","4,35","4,93","46,09M"
"13/05/2020","5,02","4,58","-7,29","4,52","5,09","40,86M"
"12/05/2020","5,43","4,94","-7,84","4,94","5,61","35,46M"
"11/05/2020","5,44","5,36","-2,72","5,17","5,59","35,44M"
"08/05/2020","5,67","5,51","-1,25","5,50","5,79","39,83M"
"07/05/2020","5,98","5,58","-4,94","5,47","6,04","44,56M"
"06/05/2020","6,07","5,87","-2,17","5,70","6,15","50,33M"
"05/05/2020","6,32","6,00","-2,44","5,91","6,43","45,08M"
"04/05/2020","6,19","6,15","-6,39","6,01","6,50","52,80M"
"30/04/2020","6,01","6,57","4,95","5,83","6,57","66,76M"
"29/04/2020","6,57","6,26","-1,88","6,06","6,63","60,47M"
"28/04/2020","6,08","6,38","8,87","5,90","6,56","71,94M"
"27/04/2020","6,12","5,86","-0,68","5,75","6,24","48,52M"
"24/04/2020","6,00","5,90","-4,84","5,03","6,08","58,78M"
"23/04/2020","6,70","6,20","-3,13","5,93","6,88","59,07M"
"22/04/2020","5,87","6,40","10,34","5,83","6,45","46,83M"
"20/04/2020","5,60","5,80","0,00","5,44","5,93","38,17M"
"17/04/2020","5,68","5,80","6,23","5,35","5,80","33,75M"
"16/04/2020","5,65","5,46","1,68","5,37","5,84","56,12M"
"15/04/2020","5,20","5,37","-1,11","4,95","5,70","41,59M"
"14/04/2020","5,40","5,43","3,43","5,35","5,56","36,50M"
"13/04/2020","5,11","5,25","0,57","4,90","5,30","32,52M"
"09/04/2020","4,89","5,22","9,89","4,71","5,22","50,10M"
"08/04/2020","4,35","4,75","7,95","4,23","4,86","45,06M"
"07/04/2020","4,38","4,40","9,73","4,27","4,68","49,82M"
"06/04/2020","4,35","4,01","2,30","3,92","4,35","38,12M"
"03/04/2020","3,82","3,92","3,16","3,47","4,00","31,54M"
"02/04/2020","4,24","3,80","-7,09","3,78","4,28","38,94M"
"01/04/2020","4,29","4,09","-11,09","3,96","4,38","27,27M"
"31/03/2020","5,10","4,60","-9,80","4,60","5,40","30,89M"
"30/03/2020","5,80","5,10","-11,30","5,10","6,04","49,71M"
"27/03/2020","5,26","5,75","2,13","5,02","5,78","35,79M"
"26/03/2020","5,40","5,63","4,84","5,15","7,04","79,31M"
"25/03/2020","4,15","5,37","33,25","3,97","5,55","32,73M"
"24/03/2020","4,20","4,03","7,47","3,69","4,30","62,48M"
"23/03/2020","4,95","3,75","-24,09","3,65","4,95","32,10M"
"20/03/2020","4,80","4,94","14,88","4,38","4,94","52,42M"